X,Y
77.027778,15.313063
77.046296,15.313063
77.064815,15.313063
77.083333,15.313063
77.101852,15.313063
77.12037,15.313063
77.138889,15.313063
77.157407,15.313063
77.175926,15.313063
77.194444,15.313063
77.212963,15.313063
77.231481,15.313063
77.25,15.313063
77.009259,15.331081
77.027778,15.331081
77.046296,15.331081
77.064815,15.331081
77.083333,15.331081
77.101852,15.331081
77.12037,15.331081
77.138889,15.331081
77.157407,15.331081
77.175926,15.331081
77.194444,15.331081
77.212963,15.331081
77.231481,15.331081
77.25,15.331081
77.046296,15.671171
77.064815,15.671171
77.083333,15.671171
77.101852,15.671171
77.12037,15.671171
77.138889,15.671171
77.231481,15.008983
77.25,15.008968
77.009259,15.027113
77.027778,15.027111
77.046296,15.027108
77.046296,15.189783
77.064815,15.189779
77.083333,15.189773
77.101852,15.189765
77.12037,15.189756
77.138889,15.189745
77.157407,15.189733
77.175926,15.189719
77.194444,15.189703
77.212963,15.189687
77.231481,15.189668
77.25,15.18965
77.009259,15.207863
77.027778,15.207861
77.046296,15.207858
77.064815,15.207854
77.083333,15.207848
77.101852,15.20784
77.12037,15.207831
77.138889,15.20782
77.157407,15.207808
77.175926,15.207794
77.194444,15.207778
77.212963,15.207761
77.231481,15.207743
77.157407,15.671171
77.175926,15.671171
77.194444,15.671171
77.212963,15.671171
77.231481,15.671171
77.25,15.671171
77.009259,15.689189
77.027778,15.689189
77.046296,15.689189
77.064815,15.689189
77.083333,15.689189
77.101852,15.689189
77.12037,15.689189
77.138889,15.689189
77.157407,15.689189
77.175926,15.689189
77.194444,15.689189
77.212963,15.689189
77.231481,15.689189
77.25,15.689189
77.009259,15.707207
77.027778,15.707207
77.046296,15.707207
77.064815,15.707207
77.083333,15.707207
77.101852,15.707207
77.12037,15.707207
77.138889,15.707207
77.157407,15.707207
77.175926,15.707207
77.194444,15.707207
77.212963,15.707207
77.231481,15.707207
77.25,15.707207
77.009259,15.725225
77.027778,15.725225
77.046296,15.725225
77.064815,15.725225
77.083333,15.725225
77.101852,15.725225
77.12037,15.725225
77.138889,15.725225
77.157407,15.725225
77.175926,15.725225
77.194444,15.725225
77.212963,15.725225
77.231481,15.725225
77.25,15.725225
77.009259,15.743243
77.027778,15.743243
77.046296,15.743243
77.064815,15.743243
77.083333,15.743243
77.101852,15.743243
77.12037,15.743243
77.138889,15.743243
77.157407,15.743243
77.175926,15.743243
77.194444,15.743243
77.212963,15.743243
77.231481,15.743243
77.25,15.743243
77.009259,15.259009
77.027778,15.259009
77.046296,15.259009
77.064815,15.259009
77.083333,15.259009
77.101852,15.259009
77.12037,15.259009
77.138889,15.259009
77.157407,15.259009
77.175926,15.259009
77.194444,15.259009
77.212963,15.259009
77.231481,15.259009
77.25,15.259009
77.009259,15.277027
77.027778,15.277027
77.046296,15.277027
77.064815,15.277027
77.083333,15.277027
77.101852,15.277027
77.12037,15.277027
77.138889,15.277027
77.175926,15.027044
77.194444,15.027029
77.212963,15.027012
77.231481,15.026994
77.25,15.026976
77.009259,15.045188
77.027778,15.045186
77.046296,15.045183
77.064815,15.045179
77.083333,15.045173
77.101852,15.045165
77.12037,15.045156
77.138889,15.045145
77.157407,15.045133
77.175926,15.045119
77.194444,15.045104
77.212963,15.045087
77.231481,15.045069
77.25,15.045051
77.009259,15.063263
77.027778,15.063261
77.046296,15.063258
77.064815,15.063254
77.083333,15.063248
77.101852,15.06324
77.12037,15.063231
77.138889,15.06322
77.157407,15.063208
77.175926,15.063194
77.194444,15.063179
77.212963,15.063162
77.231481,15.063144
77.25,15.063126
77.009259,15.081338
77.027778,15.081337
77.046296,15.081333
77.064815,15.081329
77.083333,15.081323
77.101852,15.081315
77.12037,15.081306
77.138889,15.081295
77.157407,15.081283
77.175926,15.081269
77.194444,15.081254
77.212963,15.081237
77.231481,15.081219
77.25,15.081201
77.009259,15.099413
77.009259,15.349099
77.027778,15.349099
77.046296,15.349099
77.064815,15.349099
77.083333,15.349099
77.101852,15.349099
77.12037,15.349099
77.138889,15.349099
77.157407,15.349099
77.175926,15.349099
77.194444,15.349099
77.212963,15.349099
77.231481,15.349099
77.25,15.349099
77.009259,15.367117
77.027778,15.367117
77.046296,15.367117
77.064815,15.367117
77.194444,15.171629
77.083333,15.367117
77.101852,15.367117
77.12037,15.367117
77.138889,15.367117
77.157407,15.367117
77.175926,15.367117
77.194444,15.367117
77.212963,15.367117
77.231481,15.367117
77.25,15.367117
77.009259,15.385233
77.027778,15.385233
77.046296,15.385233
77.064815,15.385233
77.083333,15.385233
77.101852,15.385233
77.12037,15.385233
77.138889,15.385233
77.157407,15.385233
77.175926,15.385233
77.194444,15.385233
77.212963,15.385233
77.231481,15.385233
77.25,15.385233
77.009259,15.403153
77.027778,15.403153
77.046296,15.403153
77.064815,15.403153
77.083333,15.403153
77.101852,15.403153
77.12037,15.403153
77.138889,15.403153
77.157407,15.403153
77.175926,15.403153
77.194444,15.403153
77.212963,15.403153
77.231481,15.403153
77.25,15.403153
77.009259,15.421169
77.027778,15.421169
77.046296,15.421169
77.064815,15.421169
77.083333,15.421169
77.101852,15.421169
77.12037,15.421169
77.138889,15.421169
77.157407,15.421169
77.175926,15.421169
77.194444,15.421169
77.212963,15.421169
77.231481,15.421169
77.25,15.421169
77.009259,15.439189
77.027778,15.439189
77.046296,15.439189
77.064815,15.439189
77.083333,15.439189
