X,Y,As_ppm,Pb_ppm,Hg_ppb
77.101852,15.653153,0.5519444316871325,0.9016993425929912,0.13092975357145736
77.12037,15.653153,0.5531349312331115,1.1597381141275267,0.13092975357145736
77.138889,15.653153,0.6431598675418421,1.2784697164496448,0.13092975357145736
77.157407,15.653153,0.702829961040427,1.1521056885854597,0.13092975357145736
77.175926,15.653153,0.573056722510236,1.1673447978819507,0.0701569977949824
77.194444,15.653153,0.5495570757223761,1.0182393408214891,0.0
77.212963,15.653153,0.4532823899937214,1.1135512523941051,0.13092975357145736
77.231481,15.653153,0.3440947516575179,1.5823428597084128,0.35189388295066765
77.25,15.653153,-0.33534664996421815,0.6773216603584293,0.0
77.009259,15.671171,0.8227565905895448,1.227291970636499,-0.24530787899074624
77.027778,15.671171,0.741650081408361,0.8845480843093263,-0.24530787899074624
77.009259,15.509009,0.5050647749052805,0.24144739854129696,-0.24530787899074624
77.027778,15.509009,0.6002110393113496,0.025341610377239476,-0.24530787899074624
77.046296,15.509009,0.7723678360643544,0.7967790485581777,-0.24530787899074624
77.064815,15.509009,0.6990129019906616,0.658368779117561,-0.24530787899074624
77.083333,15.509009,0.5362725561119902,0.9016993425929912,-0.24530787899074624
77.101852,15.509009,1.0252291342965918,1.2124538934640696,-0.24530787899074624
77.12037,15.509009,0.7243663050056846,1.2712293262979744,-0.24530787899074624
77.138889,15.509009,0.5338286688259305,1.4456113246923603,-0.24530787899074624
77.157407,15.509009,0.8392633081701123,0.9773057381956374,-0.24530787899074624
77.175926,15.509009,0.9339666616673123,0.9187211561843791,-0.24530787899074624
77.194444,15.509009,0.6999692048156138,0.9016993425929912,-0.24530787899074624
77.212963,15.509009,0.7225207843971768,1.0504595972964192,-0.24530787899074624
77.231481,15.509009,0.5411337825876088,0.3639919850265037,-0.24530787899074624
77.25,15.509009,0.7479071876984108,0.893140016967899,0.0
77.009259,15.527027,0.7774953488086572,0.8057112566500653,0.0701569977949824
77.027778,15.527027,0.7909801509457143,0.787811324634954,0.0
77.046296,15.527027,0.73169803173248,0.6296374403154631,-0.24530787899074624
77.064815,15.527027,0.7335185113248519,0.9016993425929912,-0.24530787899074624
77.083333,15.527027,0.7584997180543077,1.0101118379891691,-0.24530787899074624
77.101852,15.527027,0.716953563084285,1.2124538934640696,-0.24530787899074624
77.12037,15.527027,0.7398515647329844,0.9356154643572243,-0.24530787899074624
77.138889,15.527027,0.7380482133295472,0.8410904855660148,-0.24530787899074624
77.157407,15.527027,0.7825839672765752,0.9102263077415056,-0.24530787899074624
77.175926,15.527027,0.702829961040427,1.0263376604569387,0.0
77.194444,15.527027,0.686455296822722,1.0584432502179653,-0.24530787899074624
77.212963,15.527027,0.6079283376088438,0.7788078013197343,-0.24530787899074624
77.231481,15.527027,0.720670172690887,0.9523841631292814,-0.24530787899074624
77.25,15.527027,0.756745870472075,0.8234702428563746,-0.24530787899074624
77.009259,15.545045,0.4546613140518921,0.4175664659135968,-0.24530787899074624
77.027778,15.545045,0.47099103679217963,0.30911386168881977,-0.24530787899074624
77.046296,15.545045,0.8171628426028087,0.05040164147944616,-0.24530787899074624
77.064815,15.545045,0.7646023257349228,0.9271841289483951,0.0
77.083333,15.545045,0.8179648108012487,0.9271841289483951,0.13092975357145736
77.101852,15.545045,0.8115220595465348,1.1057606415553327,-0.24530787899074624
